,hospital,school,supermarket
2021-01-05 12:30:00,674.13,372.39,516.005
2021-01-05 12:45:00,684.175,370.985,513.8824999999999
2021-01-05 13:00:00,694.22,369.58,511.76
2021-01-05 13:15:00,695.5075,369.5725,509.38
2021-01-05 13:30:00,696.7950000000001,369.565,507.0
2021-01-05 13:45:00,698.0825,369.5575,504.62
2021-01-05 14:00:00,699.37,369.55,502.24
2021-01-05 14:15:00,700.035,367.70500000000004,500.0925
2021-01-05 14:30:00,700.7,365.86,497.945
2021-01-05 14:45:00,701.365,364.015,495.7975
2021-01-05 15:00:00,702.03,362.17,493.65
2021-01-05 15:15:00,703.9175,363.57500000000005,498.78499999999997
2021-01-05 15:30:00,705.8050000000001,364.98,503.92
2021-01-05 15:45:00,707.6925,366.385,509.05500000000006
2021-01-05 16:00:00,709.58,367.79,514.19
2021-01-05 16:15:00,709.245,351.67,519.3050000000001
2021-01-05 16:30:00,708.9100000000001,335.55,524.4200000000001
2021-01-05 16:45:00,708.575,319.43,529.535
2021-01-05 17:00:00,708.24,303.31,534.65
2021-01-05 17:15:00,628.7475,303.32,526.21
2021-01-05 17:30:00,549.255,303.33000000000004,517.77
2021-01-05 17:45:00,469.7625,303.34000000000003,509.33
2021-01-05 18:00:00,390.27,303.35,500.89
2021-01-05 18:15:00,385.31,303.45000000000005,490.705
2021-01-05 18:30:00,380.35,303.55,480.52
2021-01-05 18:45:00,375.39,303.65,470.335
2021-01-05 19:00:00,370.43,303.75,460.15
2021-01-05 19:15:00,330.18,303.7525,441.815
2021-01-05 19:30:00,289.93,303.755,423.48
2021-01-05 19:45:00,249.68,303.7575,405.145
2021-01-05 20:00:00,209.43,303.76,386.81
2021-01-05 20:15:00,199.7125,239.0025,343.1325
2021-01-05 20:30:00,189.995,174.245,299.455
2021-01-05 20:45:00,180.2775,109.48750000000001,255.7775
2021-01-05 21:00:00,170.56,44.73,212.1
2021-01-05 21:15:00,144.595,47.464999999999996,173.2
